studio,id,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,year,popularity,runtime_minutes,profit,profit_rate,foreign_share,domestic_share
Uni.,3737,1797500000.0,7978538643.0,18558808425.0,137032,10543600000.0,137032,877.1809999999996,6574.0,16761308425.0,109864.88539466671,56.811837045513336,42.99057601269463
BV,1662,5212600000.0,10465634794.0,26983631080.0,66491,16624500000.0,66491,692.902,3626.0,21771031080.0,13928.21648186939,61.609573414016594,38.78512407382054
Fox,1506,2185000000.0,4397605359.0,12938931496.0,62429,8595300000.0,62429,613.8929999999999,3435.0,10753931496.0,16577.28443309144,66.42975119434854,33.98739192922921
Par.,998,835000000.0,2039650808.0,5096751895.0,38264,3104600000.0,38264,328.993,2021.0,4261751895.0,29675.312536860547,60.913304472318245,40.0186403030709
Sony,1090,1246000000.0,2884072789.0,7431366367.0,36260,4506799999.0,36260,315.67199999999997,1913.0,6185366367.0,9721.95515642499,60.645644104064935,38.80945503921217
WB (NL),1080,814600000.0,2353795150.0,5458350616.0,40292,3154600000.0,40292,315.576,2086.0,4643750616.0,64787.659876408616,57.794015480664754,43.12282804077018
WB,923,1379000000.0,3765075704.0,8131794998.0,38278,4406400000.0,38278,297.879,2045.0,6752794998.0,15328.432055026471,54.18729814369085,46.30067168350916
Wein.,1171,307900000.0,941764588.0,2372657756.0,38257,1419000000.0,38256,271.47900000000004,1880.0,2064757756.0,15838.281594482964,59.80634992179631,39.69239076383674
FoxS,607,197475000.0,662548136.0,1611526548.0,34238,973404000.0,34238,231.72400000000002,1817.0,1414051548.0,13078.128527852576,60.40260405316016,41.11307609683884
LGF,581,615500000.0,1870368536.0,3873913024.0,22167,2015500000.0,22167,203.149,1323.0,3258413024.0,7474.9497226944695,52.02749745576115,48.28111845600383
